id,name,image_path
1,CHEVROLET,brands/1782928157112-237978998.png
2,KIA,brands/1782928246902-736312248.png
3,RENAULT,brands/1782928392635-938903623.png
4,HYUNDAI,brands/1782928555052-749018783.png
5,TOYOTA,brands/1782950943772-545543157.png
6,CITROEN,
7,DAEWOO,
8,DAIHATSU,
9,DODGE,
10,FIAT,
11,FORD,
12,HONDA,
13,JAC,
14,JEEP,
15,LADA,
16,MAZDA,
17,MERCEDES BENZ,
18,MITSUBISHI,
19,NISSAN,
20,PEUGEOT,
21,SKODA,
22,SUBARU,
23,SUZUKI,
24,VOLKSWAGEN,
25,CHANA,
26,CHANGAN,
27,CHERY,
28,DFSK,
29,SSANGYONG,
